2025-10-25T11:57:18.272Z [info] [proc] Executing command: /usr/bin/cmake --version
2025-10-25T11:57:18.277Z [debug] [proc]   with environment: {"HOSTNAME":"dave-computer","HOME":"/home/ws","ROS_DISTRO":"jazzy","PATH":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81/bin/remote-cli:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin","DISPLAY":":0","LANG":"C.UTF-8","ROS_DOMAIN_ID":"42","SHELL":"/bin/bash","ROS_AUTOMATIC_DISCOVERY_RANGE":"LOCALHOST","LC_ALL":"C.UTF-8","PWD":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81","VSCODE_CWD":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81","VSCODE_NLS_CONFIG":"{\"userLocale\":\"en\",\"osLocale\":\"en\",\"resolvedLanguage\":\"en\",\"defaultMessagesFile\":\"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81/out/nls.messages.json\",\"locale\":\"en\",\"availableLanguages\":{}}","VSCODE_HANDLES_SIGPIPE":"true","VSCODE_ESM_ENTRYPOINT":"vs/workbench/api/node/extensionHostProcess","VSCODE_HANDLES_UNCAUGHT_ERRORS":"true","REMOTE_CONTAINERS_IPC":"/tmp/vscode-remote-containers-ipc-710de5f2-6a66-4347-b141-e01a4aa05e17.sock","REMOTE_CONTAINERS_SOCKETS":"[\"/tmp/vscode-ssh-auth-710de5f2-6a66-4347-b141-e01a4aa05e17.sock\",\"/home/ws/.gnupg/S.gpg-agent\"]","SHLVL":"1","_":"/usr/bin/cat","SSH_AUTH_SOCK":"/tmp/vscode-ssh-auth-710de5f2-6a66-4347-b141-e01a4aa05e17.sock","REMOTE_CONTAINERS":"true","BROWSER":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81/bin/helpers/browser.sh","ELECTRON_RUN_AS_NODE":"1","VSCODE_IPC_HOOK_CLI":"/tmp/vscode-ipc-5b8f7765-0b7b-4e48-b748-701792dbeadd.sock","VSCODE_L10N_BUNDLE_LOCATION":"","APPLICATION_INSIGHTS_NO_STATSBEAT":"true"}
2025-10-25T11:57:20.232Z [info] [proc] Executing command: /usr/bin/cmake -E capabilities
2025-10-25T11:57:20.235Z [debug] [proc]   with environment: {"HOSTNAME":"dave-computer","HOME":"/home/ws","ROS_DISTRO":"jazzy","PATH":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81/bin/remote-cli:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin","DISPLAY":":0","LANG":"C.UTF-8","ROS_DOMAIN_ID":"42","SHELL":"/bin/bash","ROS_AUTOMATIC_DISCOVERY_RANGE":"LOCALHOST","LC_ALL":"C.UTF-8","PWD":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81","VSCODE_CWD":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81","VSCODE_NLS_CONFIG":"{\"userLocale\":\"en\",\"osLocale\":\"en\",\"resolvedLanguage\":\"en\",\"defaultMessagesFile\":\"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81/out/nls.messages.json\",\"locale\":\"en\",\"availableLanguages\":{}}","VSCODE_HANDLES_SIGPIPE":"true","VSCODE_ESM_ENTRYPOINT":"vs/workbench/api/node/extensionHostProcess","VSCODE_HANDLES_UNCAUGHT_ERRORS":"true","REMOTE_CONTAINERS_IPC":"/tmp/vscode-remote-containers-ipc-710de5f2-6a66-4347-b141-e01a4aa05e17.sock","REMOTE_CONTAINERS_SOCKETS":"[\"/tmp/vscode-ssh-auth-710de5f2-6a66-4347-b141-e01a4aa05e17.sock\",\"/home/ws/.gnupg/S.gpg-agent\"]","SHLVL":"1","_":"/usr/bin/cat","SSH_AUTH_SOCK":"/tmp/vscode-ssh-auth-710de5f2-6a66-4347-b141-e01a4aa05e17.sock","REMOTE_CONTAINERS":"true","BROWSER":"/vscode/vscode-server/bin/linux-x64/488a1f239235055e34e673291fb8d8c810886f81/bin/helpers/browser.sh","ELECTRON_RUN_AS_NODE":"1","VSCODE_IPC_HOOK_CLI":"/tmp/vscode-ipc-5b8f7765-0b7b-4e48-b748-701792dbeadd.sock","VSCODE_L10N_BUNDLE_LOCATION":"","APPLICATION_INSIGHTS_NO_STATSBEAT":"true"}
2025-10-25T11:57:22.976Z [debug] [main] Safe constructing new CMakeProject instance
2025-10-25T11:57:22.981Z [debug] [variant] Constructing VariantManager
2025-10-25T11:57:22.984Z [debug] [main] Constructing new CMakeProject instance
2025-10-25T11:57:22.986Z [debug] [main] Starting CMake Tools second-phase init
2025-10-25T11:57:23.519Z [debug] [kit] Reading kits file /home/ws/.local/share/CMakeTools/cmake-tools-kits.json
2025-10-25T11:57:25.563Z [info] [kit] Successfully loaded 1 kits from /home/ws/.local/share/CMakeTools/cmake-tools-kits.json
2025-10-25T11:57:29.617Z [debug] [kit] Not reading non-existent kits file: /home/ws/.vscode/cmake-kits.json
2025-10-25T11:57:32.972Z [info] [variant] Loaded new set of variants
2025-10-25T11:57:32.976Z [debug] [main] CMakeProject instance initialization complete.
2025-10-25T11:57:36.457Z [debug] [extension] Configuring workspace on open /home/ws
2025-10-25T11:57:36.969Z [debug] [kitsController] Start selection of kits. Found 4 kits.
2025-10-25T11:57:36.971Z [debug] [kitsController] Opening kit selection QuickPick
2025-10-25T11:57:59.562Z [debug] [kitsController] User cancelled Kit selection
2025-10-25T12:01:41.689Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:02:05.100Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:02:06.363Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:02:08.218Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:05:23.549Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:05:42.858Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:05:44.956Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:05:47.514Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:05:51.623Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:05:53.593Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:06:05.676Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:06:15.708Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:06:35.379Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:06:40.792Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:07:27.155Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:07:28.612Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:15:38.762Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:15:41.300Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:15:48.064Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:15:49.681Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:16:04.007Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:16:16.463Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:16:19.508Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:16:25.608Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:16:27.989Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:16:29.907Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:16:32.088Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:16:34.766Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:20:18.570Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:20:20.837Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:20:24.059Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:20:26.364Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:25:55.135Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:31:12.331Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:31:41.193Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:31:43.007Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:32:26.870Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:32:32.156Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:32:41.282Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:32:44.122Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:32:58.573Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:33:08.033Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:34:01.021Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:34:01.948Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:34:05.871Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:34:19.359Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:34:20.950Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:34:43.764Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:37:01.389Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:42:14.207Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:43:57.270Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:44:31.308Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:57:08.326Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:57:19.590Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:58:51.628Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:58:56.547Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:58:57.774Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T12:58:58.860Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:00:26.764Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:02:31.394Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:02:35.119Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:02:36.345Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:02:57.445Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:02:58.787Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:03:03.376Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:03:05.898Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:04:18.420Z [debug] [main] Not starting CMake driver: no kit selected
2025-10-25T13:18:57.266Z [debug] [main] Not starting CMake driver: no kit selected
